year;imdb;budget;domgross;intgross;budget_2013;domgross_2013;intgross_2013;binary
1974;tt0071562;13000000;57300000;57300000;61408439;270669505;270669505;PASS
1982;tt0084516;10700000;74706019;121706019;25821968;180285645;293709241;PASS
2008;tt0800241;15000000;2203641;6379575;16233845;2384904;6904335;PASS
2011;tt1625346;12000000;16311571;22750356;12428289;16893744;23562334;PASS
2000;tt0190590;26000000;45506619;75763814;35175618;61566286;102501499;FAIL
2009;tt1232207;20000000;14363397;19121531;21714632;15594794;20760850;FAIL
2007;tt0449088;300000000;309420425;960996492;337063045;347647302;1079721346;PASS
2009;tt0875034;80000000;19676965;53508858;86858528;21363903;58096258;FAIL
2005;tt0369994;2000000;2072645;2077844;2386066;2472734;2478937;PASS
2002;tt0283139;16000000;16357770;21657770;20722867;21186244;28050694;PASS
1978;tt0077713;1750000;93051;1278471;6248735;332258;4565044;FAIL
1985;tt0088846;15000000;9929135;9929135;32475836;21497131;21497131;PASS
1999;tt0164912;105000000;140015224;298800000;146838513;195805974;417860454;FAIL
2005;tt0372784;150000000;205343774;373298774;178954969;244981925;445357804;FAIL
2008;tt0455824;130000000;49554002;215080810;140693320;53630131;232772564;FAIL
1991;tt0102926;20000000;130726716;275726716;34216807;223652543;471724395;PASS
1993;tt0311648;300000;2528664;3590570;483738;4077367;5789647;PASS
1971;tt0067800;25000000;10324441;11253821;143862856;59412143;64760273;FAIL
2002;tt0120804;35000000;40119709;103787401;45331273;51962213;134423285;PASS
1990;tt0100403;35000000;28317513;54768418;62404139;50489429;97650742;FAIL
1979;tt0078748;9000000;80930630;203630630;28886103;259752278;653566146;PASS
2005;tt0407304;132000000;234280354;606836535;157480373;279504224;723976090;FAIL
2007;tt0469494;25000000;40222514;77208711;28088587;45191743;86747344;FAIL
1985;tt0089469;25000000;15502112;15502112;54126394;33562937;33562937;FAIL
1983;tt0086190;32500000;309205079;572700000;76029041;723340482;1339748672;FAIL
2000;tt0172495;103000000;187683805;457683805;139349563;253918993;619204256;FAIL
2013;tt1837703;26000000;3254172;6154172;26000000;3254172;6154172;FAIL
2005;tt0419706;70000000;28212337;54612337;83512319;33658253;65154327;FAIL
1996;tt0115857;55000000;21226204;60209334;81684071;31524414;89420791;FAIL
2010;tt1375670;75000000;162001186;272223430;80117388;173054825;290797736;PASS
2001;tt0250494;18000000;96493426;141809235;23685227;126970485;186599109;PASS
1997;tt0119229;15000000;28084357;31070412;21768572;40757090;45090566;PASS
1998;tt0127536;25000000;30082699;82150642;35728308;42992157;117404137;PASS
2009;tt0986263;80000000;38577772;119668350;86858528;41885106;129927709;FAIL
1995;tt0112715;50000000;81022333;152022333;76438973;123865278;232408620;FAIL
1992;tt0104348;12500000;10725228;10725228;20754340;17807603;17807603;FAIL
2009;tt1182345;5000000;5010163;10676073;5428658;5439692;11591350;FAIL
2011;tt1778304;5000000;104028807;207039844;5178454;107741677;214429259;PASS
2012;tt1707386;65000000;148809770;442022894;65951507;150988132;448493475;PASS
2012;tt1217209;185000000;237282182;554606532;187708135;240755653;562725176;PASS
2004;tt0349825;28000000;64378093;64474705;34529401;79390606;79509747;FAIL
2007;tt0367959;50000000;27669725;80583311;56177174;31088139;90538854;FAIL
2013;tt1821694;84000000;53262560;137162560;84000000;53262560;137162560;PASS
2011;tt1622547;28000000;37053924;40966716;28999342;38376408;42428850;FAIL
2002;tt0297884;13500000;15901849;29027914;17484919;20595744;37596351;PASS
2001;tt0242998;10000000;20384136;20384136;13158460;26822383;26822383;FAIL
2006;tt0907657;150000;9445857;18997174;173369;10917487;21956864;FAIL
2013;tt1860353;135000000;83028130;283828130;135000000;83028130;283828130;FAIL
2009;tt1174732;7500000;12574914;29652736;8142987;13652981;32194912;PASS
2004;tt0363547;28000000;58990765;103452875;34529401;72746991;127577349;PASS
2008;tt0887883;37000000;60355347;163415735;40043484;65319955;176857711;FAIL
2004;tt0338751;110000000;102608827;214608827;135651216;126536475;264654077;FAIL
2008;tt0892255;58000000;293708;30118557;62770866;317867;32595998;FAIL
1996;tt0116313;30000000;105489203;181489203;44554948;156668864;269541399;PASS
2004;tt0370263;70000000;80281096;172543519;86323501;99002076;212779439;FAIL
2007;tt0373889;150000000;292004738;942943935;168531522;328080020;1059438513;PASS
1998;tt0120749;60000000;32983332;32983332;85747939;47137546;47137546;FAIL
2008;tt0844286;20000000;3531756;5531756;21645126;3822265;5986778;FAIL
2001;tt0120737;109000000;315544750;887217688;143427209;415208284;1167441808;FAIL
2011;tt1389137;50000000;75624550;118924550;51784539;78323650;123169061;FAIL
2012;tt2109184;5000000;53900335;142793842;5073193;54689359;144884139;PASS
2012;tt1611224;67500000;37519139;115119139;68488103;38068365;116804318;FAIL
1993;tt0107290;63000000;395708305;1035626872;101584911;638063379;1669905770;PASS
2002;tt0298228;4300000;20779666;39892476;5569271;26913392;51667906;PASS
1999;tt0166485;75000000;39251128;39251128;104884652;54891212;54891212;FAIL
2011;tt1093357;34800000;21443494;62831715;36042039;22208829;65074228;PASS
2012;tt0837562;85000000;148313048;359222014;86244278;150484138;364480509;PASS
1981;tt0082971;20000000;248159971;389925971;51237724;635757611;998945973;FAIL
2002;tt0267913;84000000;153294164;276294164;108795054;198543415;357850459;PASS
2002;tt0266452;50000000;8355815;8374062;64758961;10822278;10845911;FAIL
1988;tt0094625;8000000;19585;19585;15757176;38576;38576;FAIL
1973;tt0070735;5500000;159616327;159616327;28841418;837011132;837011132;FAIL
2009;tt1001508;40000000;93953653;178390243;43429264;102008450;193683923;PASS
2005;tt0386588;55000000;177784257;366784257;65616822;212102508;437585770;FAIL
1979;tt0079574;31000000;70300000;210300000;99496576;225632559;674971936;FAIL
2003;tt0315327;81000000;242704995;483473962;102553043;307285628;612120077;PASS
2009;tt1003034;6600000;828;828;7165829;899;899;FAIL
2006;tt0479884;12000000;27838408;43924923;13869556;32175530;50768266;FAIL
1982;tt0083642;20500000;69701637;69701637;49471994;168208730;168208730;PASS
2000;tt0249462;5000000;21995263;109280263;6764542;29757576;147846184;PASS
2010;tt1104001;200000000;172062763;397562763;213646368;183802922;424689202;FAIL
2005;tt0401792;40000000;74103820;158753820;47721325;88408312;189398567;PASS
2010;tt0758752;30000000;32367005;102719647;32046955;34575465;109728398;FAIL
1997;tt0119528;45000000;181410615;302710615;65305716;263270001;439305185;FAIL
2008;tt0467197;35000000;40687294;85761789;37878971;44034081;92816237;PASS
1998;tt0120746;65000000;93828745;233700000;92893600;134093691;333988221;FAIL
2010;tt1226229;40000000;61153526;91455875;42729274;65326144;97696078;FAIL
2013;tt2024544;20000000;53107035;158607035;20000000;53107035;158607035;FAIL
2011;tt1598778;60000000;75658097;137551594;62141447;78358394;142460919;PASS
2009;tt1136608;30000000;115646235;215196627;32571948;125560771;233645777;FAIL
2010;tt0493949;15000000;26167002;27469621;16023478;27952425;29343924;PASS
2006;tt0404203;14000000;5463019;14763019;16181149;6314137;17063043;PASS
2011;tt0822847;60000000;29136626;84154026;62141447;30176535;87157549;FAIL
2004;tt0327437;110000000;24004159;72004159;135651216;29601758;88795016;FAIL
2008;tt1010048;14000000;141319928;384519665;15151588;152944384;416148834;FAIL
1994;tt0111301;35000000;33423000;99423000;55008264;52529749;156259619;PASS
2009;tt1197624;53000000;73357727;131159781;57543775;79646802;142404318;FAIL
1987;tt0093818;16000000;14792779;14792779;32806358;30331075;30331075;FAIL
2011;tt1486185;42000000;37662162;90300442;43499013;39006354;93523336;PASS
2004;tt0382189;1700000;1000915;4951476;2096428;1234321;6106125;PASS
2013;tt2005374;19200000;;;19200000;;;FAIL
1993;tt0108255;42000000;20844907;20844907;67723274;33611556;33611556;FAIL
2008;tt0962726;11000000;90559416;274392880;11904819;98008500;296963426;PASS
2011;tt1615147;3400000;5353586;17872206;3521349;5544660;18510079;FAIL
2003;tt0295700;10000000;15417771;28649556;12660870;19520239;36272829;PASS
2009;tt0881891;15000000;33862903;40127259;16285974;36766024;43567433;PASS
2009;tt0499549;425000000;760507625;2783918982;461435929;825707158;3022588801;FAIL
2004;tt0327247;30000000;16323969;26323969;36995786;20130602;32462531;FAIL
2009;tt1111422;110000000;65452312;152364370;119430476;71063643;165426811;FAIL
2012;tt1277953;145000000;216391482;746921271;147122592;219559143;757855127;FAIL
2008;tt0482606;9000000;52597610;83051676;9740307;56924095;89883201;FAIL
2010;tt0955308;210000000;105487148;322459006;224328687;112684730;344460978;FAIL
2006;tt0441909;9400000;12899867;85599867;10864486;14909619;98936014;PASS
2009;tt1172233;15000000;13043363;18856151;16285974;14161591;20472719;PASS
1994;tt0109830;55000000;329694499;679400525;86441558;518169206;1067789822;FAIL
2013;tt2229499;5500000;24477704;26377704;5500000;24477704;26377704;FAIL
2000;tt0162222;85000000;233632142;427230516;114997212;316082883;578003746;FAIL
1990;tt0099810;30000000;120709866;200500000;53489262;215222722;357486568;FAIL
1997;tt0119080;5000000;14843425;14843425;7256191;21541344;21541344;PASS
2000;tt0120903;75000000;157299717;296339717;101468129;212812106;400920487;FAIL
2008;tt0870111;29000000;18622031;28144586;31385433;20153811;30459656;FAIL
2006;tt0438097;75000000;195330621;651899282;86684726;225762418;753462808;FAIL
2007;tt0418279;151000000;319246193;708272592;169655066;358686980;795775055;FAIL
2010;tt0879870;60000000;80574010;205846861;64093910;86071723;219892171;PASS
2009;tt0361748;70000000;120831050;316971720;76001212;131190089;344146212;FAIL
2006;tt0408985;45000000;38399961;43343247;52010836;44382535;50095967;PASS
2002;tt0286499;5600000;32543449;76730377;7253004;42149599;99379590;PASS
1988;tt0094862;9000000;33244684;44196684;17726823;65480292;87051866;PASS
2001;tt0286112;10000000;488872;42776032;13158460;643280;56286669;FAIL
2012;tt1591479;12000000;70012847;82497035;12175663;71037735;83704673;FAIL
2006;tt0405508;5300000;2197694;29197694;6125721;2540087;33746588;PASS
1971;tt0067741;53012938;70327868;107190108;305063707;404702718;616827003;FAIL
2010;tt1228987;20000000;12134935;28270399;21364637;12962924;30199340;FAIL
2005;tt0395584;7000000;17044981;20940428;8351232;20335227;24982624;PASS
1992;tt0105151;8000000;21706101;28876702;13282778;36039665;47945352;PASS
2012;tt1656190;33000000;17142080;41495213;33483073;17393015;42102643;FAIL
1982;tt0083972;2250000;36690067;36690067;5429853;88542965;88542965;FAIL
1985;tt0088763;19000000;210609762;383874862;41136059;455981879;831110482;FAIL
1981;tt0082340;6000000;25244700;25244700;15371317;64674049;64674049;FAIL
1993;tt0112389;24000000;669276;669276;38699014;1079180;1079180;FAIL
