id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7270,¡¡Great Loft in Palermo Hollywood!!,18822,Toni,,Palermo,-34.58241,-58.43382,Entire home/apt,1801,20,14,2018-04-30,0.16,1,325
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58225,-58.4246,Entire home/apt,2471,2,24,2019-07-03,0.28,1,360
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.59761,-58.39468,Private room,1005,1,20,2017-12-11,0.18,1,365
13095,Standard Room at Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59382,-58.42994,Private room,2303,1,1,2018-12-18,0.14,7,365
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59398,-58.42853,Private room,2303,1,0,,,7,365
13097,Standard Room at Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59381,-58.43007,Private room,2303,1,0,,,7,365
13099,Lofty room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59362,-58.42984,Private room,2722,1,0,,,7,365
13100,Master Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59288,-58.4301,Private room,3141,1,1,2017-11-23,0.05,7,365
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",55825,Manuel,,Palermo,-34.58777,-58.41106,Entire home/apt,1843,5,84,2019-05-02,0.98,3,356
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,Monserrat,-34.60913,-58.37372,Entire home/apt,5025,1,0,,,1,365
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53724,-58.4658,Private room,1275,29,0,,,1,365
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.6029,-58.4114,Private room,1466,3,6,2014-06-01,0.06,2,365
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61385,-58.37706,Entire home/apt,2722,1,42,2019-07-01,0.41,11,346
16696,BIGDUPLEX LOFT IN SAN TELMO (3),64880,Elbio Mariano,,Monserrat,-34.61469,-58.37421,Entire home/apt,2094,1,49,2019-06-16,0.46,11,347
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,,Monserrat,-34.61427,-58.37488,Entire home/apt,1884,1,22,2019-04-16,0.21,11,345
17451,A terrace in Buenos Aires,67732,Karen,,Belgrano,-34.55811,-58.46462,Private room,1591,2,0,,,1,87
